Undergraduate Institution,Total Applicants from the Institution,year
"University of California-Los Angeles, Los Angeles, CA",1014,2018
"University of Florida, Gainesville, FL",852,2018
"University of Michigan-Ann Arbor, Ann Arbor, MI",815,2018
"University of Texas at Austin, Austin, TX",747,2018
"University of California-Berkeley, Berkeley, CA",662,2018
"University of California-San Diego, La Jolla, CA",578,2018
"The Ohio State University Main Campus, Columbus, OH",501,2018
"University of North Carolina at Chapel Hill, Chapel Hill, NC",496,2018
"University of Georgia, Athens, GA",486,2018
"University of Wisconsin-Madison, Madison, WI",467,2018
"Rutgers University - New Brunswick, New Brunswick, NJ",448,2018
"University of Washington, Seattle, WA",444,2018
"Cornell University, Ithaca, NY",435,2018
"University of California-Davis, Davis, CA",435,2018
"Texas A & M University, College Station, TX",434,2018
"Michigan State University, East Lansing, MI",404,2018
"University of Virginia, Charlottesville, VA",401,2018
"Brigham Young University, Provo, UT",400,2018
"University of South Florida, Tampa, FL",397,2018
"Johns Hopkins University, Baltimore, MD",388,2018
"Washington University in St. Louis, St. Louis, MO",388,2018
"University of Arizona, Tucson, AZ",383,2018
"University of Illinois at Urbana-Champaign, Champaign, IL",381,2018
"Florida State University, Tallahassee, FL",378,2018
"University of California-Irvine, Irvine, CA",366,2018
"University of Maryland-College Park, College Park, MD",364,2018
"Emory University, Atlanta, GA",363,2018
"University of Miami, Coral Gables, FL",361,2018
"Duke University, Durham, NC",350,2018
"Louisiana St University and Agricultural and Mechanical Col, Baton Rouge, LA",349,2018
"Arizona State University, Tempe, AZ",339,2018
"University of Minnesota, Minneapolis, MN",332,2018
"University of Pittsburgh, Pittsburgh, PA",331,2018
"University of Pennsylvania, Philadelphia, PA",330,2018
"The University of Texas at Dallas, Richardson, TX",317,2018
"Penn State University Park, University Park, PA",308,2018
"University of Southern California, Los Angeles, CA",302,2018
"Boston University, Boston, MA",297,2018
"University of Central Florida, Orlando, FL",296,2018
"Baylor University, Waco, TX",293,2018
"New York University, New York City, NY",290,2018
"University of Notre Dame, Notre Dame, IN",276,2018
"Indiana University-Bloomington, Bloomington, IN",275,2018
"University of South Carolina Columbia, Columbia, SC",271,2018
"Harvard University, Cambridge, MA",270,2018
"Vanderbilt University, Nashville, TN",268,2018
"University of Toronto, Toronto, ON",247,2018
"Florida International University, Miami, FL",245,2018
"Stanford University, Stanford, CA",241,2018
"University of Tennessee-Knoxville, Knoxville, TN",240,2018
"University of Illinois at Chicago, Chicago, IL",238,2018
"Brown University, Providence, RI",235,2018
"Loyola University Chicago, Chicago, IL",232,2018
"Northwestern University-Evanston, Evanston, IL",232,2018
"Clemson University, Clemson, SC",229,2018
"University of Oklahoma Norman Campus, Norman, OK",228,2018
"The University of Alabama, Tuscaloosa, AL",226,2018
"University of Houston, Houston, TX",226,2018
"Stony Brook University, Stony Brook, NY",220,2018
"Case Western Reserve University, Cleveland, OH",219,2018
"University of Puerto Rico-Rio Piedras Campus, Rio Piedras, PR",218,2018
"University of California-Riverside, Riverside, CA",216,2018
"University of Kansas Main Campus, Lawrence, KS",215,2018
"University of Kentucky, Lexington, KY",215,2018
"The University of Utah, Salt Lake City, UT",209,2018
"Virginia Commonwealth University, Richmond, VA",209,2018
"Rice University, Houston, TX",206,2018
"University of Connecticut, Storrs, CT",203,2018
"Wayne State University, Detroit, MI",199,2018
"State University of New York at Binghamton, Binghamton, NY",196,2018
"University of New Mexico-Main Campus, Albuquerque, NM",193,2018
"Columbia University in the City of New York, New York City, NY",191,2018
"Yale University, New Haven, CT",190,2018
"Tulane University, New Orleans, LA",189,2018
"University of Colorado at Boulder, Boulder, CO",186,2018
"University of Iowa, Iowa City, IA",186,2018
"Texas Tech University-Lubbock, Lubbock, TX",180,2018
"Boston College, Chestnut Hill, MA",179,2018
"Saint Louis University, St. Louis, MO",175,2018
"University of California-Santa Barbara, Santa Barbara, CA",174,2018
"Georgia Institute of Technology, Atlanta, GA",171,2018
"University of Chicago, Chicago, IL",171,2018
"Virginia Polytechnic Institute and State University, Blacksburg, VA",171,2018
"Georgetown University, Washington, DC",170,2018
"University of Rochester, Rochester, NY",170,2018
"University of Western Ontario, London, ON",168,2018
"Auburn University, Auburn, AL",167,2018
"University of Arkansas Main Campus, Fayetteville, AR",165,2018
"College of William & Mary, Williamsburg, VA",163,2018
"Purdue University-Main Campus, West Lafayette, IN",163,2018
"University of Massachusetts-Amherst, Amherst, MA",163,2018
"McGill University, Montreal, QC",160,2018
"Florida Atlantic University-Boca Raton, Boca Raton, FL",157,2018
"Princeton University, Princeton, NJ",157,2018
"Creighton University, Omaha, NE",156,2018
"Dartmouth College, Hanover, NH",154,2018
"University of Missouri-Columbia, Columbia, MO",153,2018
"Tufts University, Medford, MA",148,2018
"McMaster University, Hamilton, ON",146,2018
"Northeastern University, Boston, MA",145,2018
"University of Alabama at Birmingham, Birmingham, AL",145,2018
"George Washington University, Washington, DC",142,2018
"University of Nebraska - Lincoln, Lincoln, NE",140,2018
"University of Maryland-Baltimore County, Baltimore, MD",138,2018
"University of Mississippi, University, MS",138,2018
"Mississippi State University, Mississippi State, MS",137,2018
"Temple University, Philadelphia, PA",137,2018
"North Carolina State University, Raleigh, NC",134,2018
"Georgia State University, Atlanta, GA",133,2018
"University of Texas at San Antonio, San Antonio, TX",130,2018
"Drexel University, Philadelphia, PA",128,2018
"Miami University, Oxford, OH",127,2018
"The University of Texas Rio Grande Valley, Edinburg, TX",127,2018
"Howard University, Washington, DC",126,2018
"Wake Forest University, Winston-Salem, NC",125,2018
"University of Nevada-Reno, Reno, NV",124,2018
"West Virginia University, Morgantown, WV",123,2018
"University of North Texas, Denton, TX",116,2018
"Oakland University, Rochester, MI",108,2018
"George Mason University, Fairfax, VA",107,2018
"The University of Texas at Arlington, Arlington, TX",107,2018
"University of California-Santa Cruz, Santa Cruz, CA",107,2018
"University of Oregon, Eugene, OR",106,2018
"Grand Valley State University, Allendale, MI",105,2018
"University of Cincinnati Main Campus, Cincinnati, OH",105,2018
"University of Hawaii at Manoa, Honolulu, HI",105,2018
"Colorado State University, Fort Collins, CO",104,2018
"University of Nevada-Las Vegas, Las Vegas, NV",104,2018
"Xavier University of Louisiana, New Orleans, LA",104,2018
"City University of New York Hunter College, New York City, NY",101,2018
"Kansas State University, Manhattan, KS",101,2018
"University of Louisville, Louisville, KY",101,2018
"Fordham University, Bronx, NY",99,2018
"Syracuse University, Syracuse, NY",98,2018
"Villanova University, Villanova, PA",98,2018
"University of Puerto Rico-Mayaguez Campus, Mayaguez, PR",96,2018
"Brandeis University, Waltham, MA",95,2018
"University of British Columbia, Vancouver, BC",93,2018
"University of Delaware, Newark, DE",93,2018
"Wesleyan University, Middletown, CT",91,2018
"Marquette University, Milwaukee, WI",89,2018
"Massachusetts Institute of Technology, Cambridge, MA",89,2018
"Oregon State University, Corvallis, OR",87,2018
"University of North Dakota, Grand Forks, ND",87,2018
"Southern Methodist University, Dallas, TX",86,2018
"The College Of New Jersey, Ewing, NJ",86,2018
"Kent State University Kent Campus, Kent, OH",83,2018
"Indiana University-Purdue University-Indianapolis, Indianapolis, IN",79,2018
"Nova Southeastern University, Fort Lauderdale, FL",78,2018
"The University of Akron, Main Campus, Akron, OH",76,2018
"University of Dayton, Dayton, OH",76,2018
"University of Texas at El Paso, El Paso, TX",76,2018
"East Carolina University, Greenville, NC",75,2018
"City University of New York Brooklyn College, Brooklyn, NY",74,2018
"Wellesley College, Wellesley, MA",74,2018
"Iowa State University, Ames, IA",73,2018
"Portland State University, Portland, OR",73,2018
"Santa Clara University, Santa Clara, CA",73,2018
"City University of New York The City College, New York City, NY",72,2018
"Pomona College, Claremont, CA",72,2018
"University at Albany, SUNY, Albany, NY",71,2018
"Texas Christian University, Fort Worth, TX",70,2018
"Amherst College, Amherst, MA",69,2018
"College of Charleston, Charleston, SC",68,2018
"University of Colorado Denver | Anschutz Medical Campus, Denver, CO",67,2018
"Oklahoma State University, Stillwater, OK",66,2018
"Williams College, Williamstown, MA",66,2018
"Colgate University, Hamilton, NY",65,2018
"Rhodes College, Memphis, TN",65,2018
"University of Denver, Denver, CO",65,2018
"Central Michigan University, Mount Pleasant, MI",64,2018
"Montana State University-Bozeman, Bozeman, MT",64,2018
"San Diego State University, San Diego, CA",64,2018
"University at Buffalo-SUNY, Buffalo, NY",64,2018
"University of Vermont, Burlington, VT",64,2018
"Furman University, Greenville, SC",63,2018
"University of Michigan-Dearborn, Dearborn, MI",63,2018
"Gonzaga University, Spokane, WA",62,2018
"Spelman College, Atlanta, GA",62,2018
"Marshall University, Huntington, WV",61,2018
"College of the Holy Cross, Worcester, MA",60,2018
"University of San Diego, San Diego, CA",60,2018
"Carnegie Mellon University, Pittsburgh, PA",59,2018
"Texas State University-San Marcos, San Marcos, TX",59,2018
"University of Toledo, Toledo, OH",58,2018
"Washington State University, Pullman, WA",58,2018
"California Polytechnic State University-San Luis Obispo, San Luis Obispo, CA",57,2018
"Davidson College, Davidson, NC",57,2018
"The University of Scranton, Scranton, PA",57,2018
"Yeshiva University (New York, NY), New York City, NY",57,2018
"York University, Toronto, ON",57,2018
"Hofstra University, Hempstead, NY",56,2018
"Carleton College, Northfield, MN",55,2018
"Northern Arizona University, Flagstaff, AZ",55,2018
"University of Minnesota-Duluth, Duluth, MN",55,2018
"University of South Alabama, Mobile, AL",55,2018
"Vassar College, Poughkeepsie, NY",55,2018
"Loyola Marymount University, Los Angeles, CA",54,2018
"Middle Tennessee State University, Murfreesboro, TN",54,2018
"Mississippi College, Clinton, MS",54,2018
"Barnard College, New York City, NY",53,2018
"Queen's University at Kingston, Kingston, ON",53,2018
"Utah State University, Logan, UT",53,2018
"San Francisco State University, San Francisco, CA",52,2018
"University of North Carolina-Wilmington, Wilmington, NC",52,2018
"Brigham Young University-Idaho, Rexburg, ID",51,2018
"Kennesaw State University, Kennesaw, GA",51,2018
"North Dakota State University Main Campus, Fargo, ND",51,2018
"St. Olaf College, Northfield, MN",51,2018
"Western Kentucky University, Bowling Green, KY",51,2018
"Wichita State University, Wichita, KS",51,2018
"State University of New York College at Geneseo, Geneseo, NY",50,2018
"University of California-Los Angeles, Los Angeles, CA",1014,2019
"University of Florida, Gainesville, FL",860,2019
"University of Texas at Austin, Austin, TX",816,2019
"University of Michigan-Ann Arbor, Ann Arbor, MI",796,2019
"University of California-Berkeley, Berkeley, CA",697,2019
"University of California-San Diego, La Jolla, CA",564,2019
"The Ohio State University Main Campus, Columbus, OH",562,2019
"Texas A & M University, College Station, TX",514,2019
"University of North Carolina at Chapel Hill, Chapel Hill, NC",510,2019
"University of Wisconsin-Madison, Madison, WI",509,2019
"University of California-Davis, Davis, CA",474,2019
"University of Washington, Seattle, WA",446,2019
"Brigham Young University, Provo, UT",442,2019
"Rutgers University - New Brunswick, New Brunswick, NJ",441,2019
"University of Georgia, Athens, GA",440,2019
"Cornell University, Ithaca, NY",433,2019
"Johns Hopkins University, Baltimore, MD",428,2019
"University of Virginia, Charlottesville, VA",424,2019
"University of South Florida, Tampa, FL",407,2019
"Michigan State University, East Lansing, MI",383,2019
"Washington University in St. Louis, St. Louis, MO",370,2019
"University of Arizona, Tucson, AZ",362,2019
"University of Minnesota, Minneapolis, MN",362,2019
"University of Maryland-College Park, College Park, MD",358,2019
"The University of Texas at Dallas, Richardson, TX",352,2019
"Emory University, Atlanta, GA",349,2019
"Duke University, Durham, NC",346,2019
"Louisiana St University and Agricultural and Mechanical Col, Baton Rouge, LA",345,2019
"University of Illinois at Urbana-Champaign, Champaign, IL",345,2019
"Florida State University, Tallahassee, FL",342,2019
"University of Pittsburgh, Pittsburgh, PA",339,2019
"University of California-Irvine, Irvine, CA",338,2019
"University of Miami, Coral Gables, FL",337,2019
"Arizona State University, Tempe, AZ",336,2019
"Baylor University, Waco, TX",335,2019
"University of Southern California, Los Angeles, CA",329,2019
"University of Central Florida, Orlando, FL",320,2019
"New York University, New York, NY",307,2019
"University of Pennsylvania, Philadelphia, PA",299,2019
"Brown University, Providence, RI",289,2019
"Harvard University, Cambridge, MA",283,2019
"Florida International University, Miami, FL",282,2019
"Boston University, Boston, MA",272,2019
"Penn State University Park, University Park, PA",270,2019
"University of Connecticut, Storrs, CT",270,2019
"University of South Carolina Columbia, Columbia, SC",264,2019
"Vanderbilt University, Nashville, TN",262,2019
"Stony Brook University, Stony Brook, NY",260,2019
"University of Notre Dame, Notre Dame, IN",259,2019
"Indiana University-Bloomington, Bloomington, IN",253,2019
"Clemson University, Clemson, SC",248,2019
"University of Illinois at Chicago, Chicago, IL",245,2019
"University of Houston, Houston, TX",243,2019
"Northwestern University-Evanston, Evanston, IL",240,2019
"University of Toronto, Toronto, ON",240,2019
"University of Kentucky, Lexington, KY",234,2019
"University of Oklahoma Norman Campus, Norman, OK",231,2019
"Loyola University Chicago, Chicago, IL",230,2019
"Stanford University, Stanford, CA",223,2019
"University of California-Riverside, Riverside, CA",216,2019
"University of Colorado at Boulder, Boulder, CO",213,2019
"The University of Utah, Salt Lake City, UT",211,2019
"Texas Tech University-Lubbock, Lubbock, TX",206,2019
"University of Puerto Rico-Rio Piedras Campus, Rio Piedras, PR",206,2019
"University of Tennessee-Knoxville, Knoxville, TN",206,2019
"Wayne State University, Detroit, MI",202,2019
"Yale University, New Haven, CT",202,2019
"Case Western Reserve University, Cleveland, OH",199,2019
"The University of Alabama, Tuscaloosa, AL",198,2019
"Rice University, Houston, TX",196,2019
"Columbia University in the City of New York, New York, NY",194,2019
"Virginia Commonwealth University, Richmond, VA",194,2019
"Georgia Institute of Technology, Atlanta, GA",189,2019
"University of Kansas Main Campus, Lawrence, KS",187,2019
"University of Missouri-Columbia, Columbia, MO",187,2019
"University of Western Ontario, London, ON",187,2019
"Northeastern University, Boston, MA",184,2019
"University of Iowa, Iowa City, IA",184,2019
"University of California-Santa Barbara, Santa Barbara, CA",182,2019
"State University of New York at Binghamton, Binghamton, NY",181,2019
"Tulane University, New Orleans, LA",180,2019
"Saint Louis University, St. Louis, MO",179,2019
"University of Mississippi, University, MS",176,2019
"Boston College, Chestnut Hill, MA",175,2019
"Florida Atlantic University-Boca Raton, Boca Raton, FL",170,2019
"University of Arkansas Main Campus, Fayetteville, AR",168,2019
"Auburn University, Auburn, AL",160,2019
"Tufts University, Medford, MA",160,2019
"Wake Forest University, Winston-Salem, NC",159,2019
"Creighton University, Omaha, NE",157,2019
"Dartmouth College, Hanover, NH",155,2019
"The University of Texas at San Antonio, San Antonio, TX",153,2019
"University of Chicago, Chicago, IL",153,2019
"Georgia State University, Atlanta, GA",150,2019
"University of New Mexico-Main Campus, Albuquerque, NM",150,2019
"College of William & Mary, Williamsburg, VA",149,2019
"Georgetown University, Washington, DC",147,2019
"George Washington University, Washington, DC",146,2019
"Miami University, Oxford, OH",146,2019
"Princeton University, Princeton, NJ",143,2019
"The University of Texas at Arlington, Arlington, TX",142,2019
"University of Alabama at Birmingham, Birmingham, AL",142,2019
"University of Massachusetts-Amherst, Amherst, MA",142,2019
"North Carolina State University, Raleigh, NC",141,2019
"University of Rochester, Rochester, NY",141,2019
"Temple University, Philadelphia, PA",138,2019
